subject,description,priority,category
"User permission bug","A user with an 'Admin' role cannot access the user management page; they are getting a 'permission denied' error.","High","Account"
"API returning 404 Not Found","Our application is receiving a consistent '404 Not Found' from the /v1/invoices endpoint. This started this morning.","High","Technical"
"UI/UX Improvement Suggestion","The current workflow for add a user requires too many clicks. It could be streamlined by changing the UI on the API keys section.","Low","Feature Request"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Cannot update payment info","Multiple users are unable to update payment info when using on Chrome on macOS. The console shows a JavaScript error.","High","Technical"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Requesting a refund","Due to the service outage for 8 hours on Tuesday, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Request for better documentation","The documentation for the authentication service is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"Cannot save changes","Multiple users are unable to save changes when using via Safari on an iPad. The console shows a JavaScript error.","High","Technical"
"Need to cancel subscription","Please cancel our Starter subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Dashboard not loading","The dashboard is showing a blank white screen. No data is loading. This is impacting all our users since a few minutes ago.","Critical","Technical"
"High latency in US-West-2","We're observing response times of over 30 seconds from the database cluster in US-West-2. This is a major degradation.","Critical","Technical"
"Feature Idea: custom reporting filters","It would be extremely helpful if you could add a custom reporting filters. This would help us log in much more efficiently.","Low","Feature Request"
"Help with SSO configuration","We are trying to set up SSO with Azure AD and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"Upgrade plan to Growth","We would like to upgrade our account to the Growth tier. Please provide instructions on how to proceed.","Low","Billing"
"UI bug on main dashboard","When we try to log in on the main dashboard, the API behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"API returning Timeout Error","Our application is receiving a consistent 'Timeout Error' from the /v2/reports endpoint. This started on 2025-08-27.","Critical","Technical"
"Webhook delivery failing","We stopped receiving 'payment.failed' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.","High","Technical"
"Invoice for this month is missing","I cannot find the invoice for this month in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"Data sync issue for DataCorp","There is a data synchronization delay of over 15 minutes for new records to appear on the settings page. This is affecting our operations.","Medium","Technical"
"Export to PDF is broken","The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Incorrect charge of $1,200","I was charged $1,200 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Authentication failure for v2/users","Our application is receiving a consistent '401 Unauthorized' from the /v2/users endpoint. This started this morning.","High","Technical"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Suggestion for API endpoint /v2/users","Could you enhance the /v2/users endpoint to include bulk user deletion? This would save us from making multiple API calls.","Low","Feature Request"
"Request for better documentation","The documentation for the database cluster is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"User permission bug","A user with an 'Admin' role cannot access the user profile; they are getting a 'permission denied' error.","High","Account"
"Cannot view reports","Multiple users are unable to view reports when using using Firefox on Windows 11. The console shows a JavaScript error.","High","Technical"
"Feature Idea: role-based access control","It would be extremely helpful if you could add a role-based access control. This would help us view reports much more efficiently.","Low","Feature Request"
"Add team member to NextGen Systems","How do I invite a new developer to a team? I can't find the option in the account settings.","Low","Account"
"Request to delete account","Please proceed with the permanent deletion of our account (Innovate Inc.) and all associated data as per our company policy.","Medium","Account"
"Requesting a refund","Due to the service outage for all day yesterday, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Add support for PDF exports","We would like to request the ability to export reports in PDF format, in addition to the existing options.","Low","Feature Request"
"UI/UX Improvement Suggestion","The current workflow for reset my password requires too many clicks. It could be streamlined by changing the UI on the billing history page.","Low","Feature Request"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Cannot reset my password","Multiple users are unable to reset my password when using on Chrome on macOS. The console shows a JavaScript error.","High","Technical"
"Dashboard not loading","The reporting module is showing a blank white screen. No data is loading. This is impacting all our users since 2 hours ago.","Critical","Technical"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"API returning CORS policy violation","Our application is receiving a consistent 'CORS policy violation' from the /v1/invoices endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"UI bug on API keys section","When we try to view reports on the API keys section, the user management page behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Integration with HubSpot","We rely heavily on HubSpot and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Incorrect charge of $29","I was charged $29 but my plan is the Enterprise plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Export to CSV is broken","The data export feature for CSV is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"High latency in US-East-1","We're observing response times of over 30 seconds from the caching layer in US-East-1. This is a major degradation.","Critical","Technical"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Webhook delivery failing","We stopped receiving 'invoice.paid' webhooks. The last successful delivery was on 2025-08-27. We have checked our endpoint and it is healthy.","High","Technical"
"Data sync issue for Solutions LLC","There is a data synchronization delay of over an hour for new records to appear on the billing history page. This is affecting our operations.","Medium","Technical"
"Need to cancel subscription","Please cancel our Scale subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Help with SSO configuration","We are trying to set up SSO with Okta and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"Upgrade plan to Growth","We would like to upgrade our account to the Growth tier. Please provide instructions on how to proceed.","Low","Billing"
"Authentication failure for v1/invoices","Our application is receiving a consistent '401 Unauthorized' from the /v1/invoices endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"Cannot export data","Multiple users are unable to export data when using using an automated script with cURL. The console shows a JavaScript error.","High","Technical"
"Invoice for July 2025 is missing","I cannot find the invoice for July 2025 in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Cannot log in","Multiple users are unable to log in when using via Safari on an iPad. The console shows a JavaScript error.","Critical","Technical"
"High latency in EU-West-2","We're observing response times of over 500ms from the database cluster in EU-West-2. This is a major degradation.","High","Technical"
"API returning 500 Internal Server Error","Our application is receiving a consistent '500 Internal Server Error' from the /v2/reports endpoint. This started this morning.","Critical","Technical"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Feature Idea: custom reporting filters","It would be extremely helpful if you could add a custom reporting filters. This would help us add a user much more efficiently.","Low","Feature Request"
"Request for better documentation","The documentation for the authentication service is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"Add support for JSON exports","We would like to request the ability to export reports in JSON format, in addition to the existing options.","Low","Feature Request"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"User permission bug","A user with an 'Admin' role cannot access the API keys section; they are getting a 'permission denied' error.","High","Account"
"Export to PDF is broken","The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"UI/UX Improvement Suggestion","The current workflow for log in requires too many clicks. It could be streamlined by changing the UI on the API keys section.","Low","Feature Request"
"Authentication failure for v2/users","Our application is receiving a consistent '403 Forbidden' from the /v2/users endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"Incorrect charge of $99","I was charged $99 but my plan is the Scale plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Data sync issue for Solutions LLC","There is a data synchronization delay of over 24 hours for new records to appear on the settings page. This is affecting our operations.","Medium","Technical"
"Suggestion for API endpoint /v2/reports","Could you enhance the /v2/reports endpoint to include webhook payload customization? This would save us from making multiple API calls.","Low","Feature Request"
"Requesting a refund","Due to the service outage for the past week, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Add team member to Innovate Inc.","How do I invite a new developer to a team? I can't find the option in the account settings.","Low","Account"
"Webhook delivery failing","We stopped receiving 'user.created' webhooks. The last successful delivery was 2 hours ago. We have checked our endpoint and it is healthy.","High","Technical"
"Dashboard not loading","The dashboard is showing a blank white screen. No data is loading. This is impacting all our users since 2 hours ago.","Critical","Technical"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Request to delete account","Please proceed with the permanent deletion of our account (QuantumLeap) and all associated data as per our company policy.","Medium","Account"
"Cannot save changes","Multiple users are unable to save changes when using from our mobile app (iOS). The console shows a JavaScript error.","High","Technical"
"Help with SSO configuration","We are trying to set up SSO with Azure AD and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"Integration with Salesforce","We rely heavily on Salesforce and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"UI bug on user profile","When we try to update payment info on the user profile, the API behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Need to cancel subscription","Please cancel our Growth subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Upgrade plan to Enterprise","We would like to upgrade our account to the Enterprise tier. Please provide instructions on how to proceed.","Low","Billing"
"Invoice for Q3 is missing","I cannot find the invoice for Q3 in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"High latency in US-West-2","We're observing response times of over 30 seconds from the database cluster in US-West-2. This is a major degradation.","Critical","Technical"
"Incorrect charge of $249.50","I was charged $249.50 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Export to PDF is broken","The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Data sync issue for NextGen Systems","There is a data synchronization delay of over an hour for new records to appear on the billing history page. This is affecting our operations.","Medium","Technical"
"Request to delete account","Please proceed with the permanent deletion of our account (QuantumLeap) and all associated data as per our company policy.","Medium","Account"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Suggestion for API endpoint /v2/reports","Could you enhance the /v2/reports endpoint to include webhook payload customization? This would save us from making multiple API calls.","Low","Feature Request"
"UI bug on API keys section","When we try to add a user on the API keys section, the user management page behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Add team member to Stellar Solutions","How do I invite a new developer to a team? I can't find the option in the account settings.","Low","Account"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Authentication failure for v1/invoices","Our application is receiving a consistent '401 Unauthorized' from the /v1/invoices endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"API returning 500 Internal Server Error","Our application is receiving a consistent '500 Internal Server Error' from the /v1/invoices endpoint. This started a few minutes ago.","Critical","Technical"
"Cannot reset my password","Multiple users are unable to reset my password when using via Safari on an iPad. The console shows a JavaScript error.","High","Technical"
"Need to cancel subscription","Please cancel our Basic subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Requesting a refund","Due to the service outage for all day yesterday, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"High latency in AP-South-1","We're observing response times of over 1s from the core application in AP-South-1. This is a major degradation.","High","Technical"
"Dashboard not loading","The billing portal is showing a blank white screen. No data is loading. This is impacting all our users since yesterday at 4 PM UTC.","Critical","Technical"
"Add support for XLSX exports","We would like to request the ability to export reports in XLSX format, in addition to the existing options.","Low","Feature Request"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Invoice for August 2025 is missing","I cannot find the invoice for August 2025 in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"Feature Idea: audit logs","It would be extremely helpful if you could add a audit logs. This would help us view reports much more efficiently.","Low","Feature Request"
"User permission bug","A user with an 'Admin' role cannot access the billing history page; they are getting a 'permission denied' error.","High","Account"
"Upgrade plan to Growth","We would like to upgrade our account to the Growth tier. Please provide instructions on how to proceed.","Low","Billing"
"Data sync issue for Stellar Solutions","There is a data synchronization delay of over 15 minutes for new records to appear on the settings page. This is affecting our operations.","Medium","Technical"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"Incorrect charge of $29","I was charged $29 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Request to delete account","Please proceed with the permanent deletion of our account (NextGen Systems) and all associated data as per our company policy.","Medium","Account"
"Cannot add a user","Multiple users are unable to add a user when using from our mobile app (iOS). The console shows a JavaScript error.","High","Technical"
"API returning Timeout Error","Our application is receiving a consistent 'Timeout Error' from the /v1/auth/token endpoint. This started a few minutes ago.","Critical","Technical"
"Help with SSO configuration","We are trying to set up SSO with Google Workspace and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"UI bug on settings page","When we try to save changes on the settings page, the dashboard behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Webhook delivery failing","We stopped receiving 'subscription.updated' webhooks. The last successful delivery was on 2025-08-27. We have checked our endpoint and it is healthy.","High","Technical"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"High latency in SA-East-1","We're observing response times of over 2.5s from the API gateway in SA-East-1. This is a major degradation.","High","Technical"
"API returning 503 Service Unavailable","Our application is receiving a consistent '503 Service Unavailable' from the /v2/reports endpoint. This started this morning.","Critical","Technical"
"Incorrect charge of $29","I was charged $29 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Feature Idea: role-based access control","It would be extremely helpful if you could add a role-based access control. This would help us update payment info much more efficiently.","Low","Feature Request"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"High latency in US-East-1","We're observing response times of over 1s from the core application in US-East-1. This is a major degradation.","High","Technical"
"Need to cancel subscription","Please cancel our Pro subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Add team member to DataCorp","How do I invite a new developer to our team? I can't find the option in the account settings.","Low","Account"
"Dashboard not loading","The reporting module is showing a blank white screen. No data is loading. This is impacting all our users since yesterday at 4 PM UTC.","Critical","Technical"
"Integration with Zendesk","We rely heavily on Zendesk and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"User permission bug","A user with an 'Admin' role cannot access the settings page; they are getting a 'permission denied' error.","High","Account"
"Webhook delivery failing","We stopped receiving 'invoice.paid' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.","High","Technical"
"Upgrade plan to Enterprise","We would like to upgrade our account to the Enterprise tier. Please provide instructions on how to proceed.","Low","Billing"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Request for better documentation","The documentation for the API gateway is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Cannot export data","Multiple users are unable to export data when using on Chrome on macOS. The console shows a JavaScript error.","High","Technical"
"Requesting a refund","Due to the service outage for 3 hours, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"UI bug on main dashboard","When we try to save changes on the main dashboard, the dashboard behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Help with SSO configuration","We are trying to set up SSO with Okta and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"Data sync issue for QuantumLeap","There is a data synchronization delay of over 15 minutes for new records to appear on the user profile. This is affecting our operations.","Medium","Technical"
"Invoice for last month is missing","I cannot find the invoice for last month in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"Suggestion for API endpoint /v1/invoices","Could you enhance the /v1/invoices endpoint to include filtering by custom date range? This would save us from making multiple API calls.","Low","Feature Request"
"Authentication failure for v2/users","Our application is receiving a consistent '401 Unauthorized' from the /v2/users endpoint. This started on 2025-08-27.","High","Technical"
"Request to delete account","Please proceed with the permanent deletion of our account (NextGen Systems) and all associated data as per our company policy.","Medium","Account"
"API returning Timeout Error","Our application is receiving a consistent 'Timeout Error' from the /v1/auth/token endpoint. This started 2 hours ago.","Critical","Technical"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Export to CSV is broken","The data export feature for CSV is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Add support for XLSX exports","We would like to request the ability to export reports in XLSX format, in addition to the existing options.","Low","Feature Request"
"Incorrect charge of $499","I was charged $499 but my plan is the Starter plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"High latency in AP-South-1","We're observing response times of over 2.5s from the database cluster in AP-South-1. This is a major degradation.","High","Technical"
"UI/UX Improvement Suggestion","The current workflow for adding a user requires too many clicks. It could be streamlined by changing the UI on the settings page.","Low","Feature Request"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"Dashboard not loading","The user management page is showing a blank white screen. No data is loading. This is impacting all our users since this morning.","Critical","Technical"
"Upgrade plan to Scale","We would like to upgrade our account to the Scale tier. Please provide instructions on how to proceed.","Low","Billing"
"Webhook delivery failing","We stopped receiving 'payment.failed' webhooks. The last successful delivery was yesterday at 4 PM UTC. We have checked our endpoint and it is healthy.","High","Technical"
"Feature Idea: audit logs","It would be extremely helpful if you could add audit logs. This would help us view reports much more efficiently.","Low","Feature Request"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"User permission bug","A user with an 'Admin' role cannot access the billing history page; they are getting a 'permission denied' error.","High","Account"
"API returning 404 Not Found","Our application is receiving a consistent '404 Not Found' from the /v2/users endpoint. This started a few minutes ago.","High","Technical"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Cannot log in","Multiple users are unable to log in when using Firefox on Windows 11. The console shows a JavaScript error.","Critical","Technical"
"Integration with HubSpot","We rely heavily on HubSpot and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"Request to delete account","Please proceed with the permanent deletion of our account (Innovate Inc.) and all associated data as per our company policy.","Medium","Account"
"Data sync issue for Stellar Solutions","There is a data synchronization delay of over an hour for new records to appear on the main dashboard. This is affecting our operations.","Medium","Technical"
"Requesting a refund","Due to the service outage for the past week, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Export to JSON is broken","The data export feature for JSON is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"UI bug on API keys section","When we try to add a user on the API keys section, the user management page behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Need to cancel subscription","Please cancel our Enterprise subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Suggestion for API endpoint /v2/reports","Could you enhance the /v2/reports endpoint to include sorting by metadata? This would save us from making multiple API calls.","Low","Feature Request"
"Authentication failure for v1/auth/token","Our application is receiving a consistent '403 Forbidden' from the /v1/auth/token endpoint. This started this morning.","High","Technical"
"Help with SSO configuration","We are trying to set up SSO with Azure AD and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"Invoice for August 2025 is missing","I cannot find the invoice for August 2025 in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"High latency in EU-West-2","We're observing response times of over 10 seconds from the caching layer in EU-West-2. This is a major degradation.","Critical","Technical"
"Feature Idea: Slack integration","It would be extremely helpful if you could add a Slack integration. This would help us save changes much more efficiently.","Low","Feature Request"
"Incorrect charge of $1,200","I was charged $1,200 but my plan is the Basic plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Cannot save changes","Multiple users are unable to save changes when using an automated script with cURL. The console shows a JavaScript error.","High","Technical"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Dashboard not loading","The login service is showing a blank white screen. No data is loading. This is impacting all our users since 2 hours ago.","Critical","Technical"
"Add team member to Solutions LLC","How do I invite a new developer to our team? I can't find the option in the account settings.","Low","Account"
"Webhook delivery failing","We stopped receiving 'subscription.updated' webhooks. The last successful delivery was on 2025-08-27. We have checked our endpoint and it is healthy.","High","Technical"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Request for better documentation","The documentation for the core application is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"User permission bug","A user with an 'Admin' role cannot access the user profile; they are getting a 'permission denied' error.","High","Account"
"API returning 500 Internal Server Error","Our application is receiving a consistent '500 Internal Server Error' from the /v1/invoices endpoint. This started yesterday at 4 PM UTC.","Critical","Technical"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"UI/UX Improvement Suggestion","The current workflow for resetting my password requires too many clicks. It could be streamlined by changing the UI on the user profile.","Low","Feature Request"
"Export to PDF is broken","The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Data sync issue for DataCorp","There is a data synchronization delay of over 24 hours for new records to appear on the billing history page. This is affecting our operations.","Medium","Technical"
"Incorrect charge of $249.50","I was charged $249.50 but my plan is the Pro plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Integration with Salesforce","We rely heavily on Salesforce and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"Cannot upload a file","Multiple users are unable to upload a file when using via Safari on an iPad. The console shows a JavaScript error.","High","Technical"
"High latency in US-West-2","We're observing response times of over 30 seconds from the database cluster in US-West-2. This is a major degradation.","Critical","Technical"
"Incorrect charge of $249.50","I was charged $249.50 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Export to PDF is broken","The data export feature for PDF is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Data sync issue for NextGen Systems","There is a data synchronization delay of over an hour for new records to appear on the billing history page. This is affecting our operations.","Medium","Technical"
"Request to delete account","Please proceed with the permanent deletion of our account (QuantumLeap) and all associated data as per our company policy.","Medium","Account"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"Suggestion for API endpoint /v2/reports","Could you enhance the /v2/reports endpoint to include webhook payload customization? This would save us from making multiple API calls.","Low","Feature Request"
"UI bug on API keys section","When we try to add a user on the API keys section, the user management page behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Add team member to Stellar Solutions","How do I invite a new developer to a team? I can't find the option in the account settings.","Low","Account"
"Payment method declined","My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?","High","Billing"
"Authentication failure for v1/invoices","Our application is receiving a consistent '401 Unauthorized' from the /v1/invoices endpoint. This started yesterday at 4 PM UTC.","High","Technical"
"API returning 500 Internal Server Error","Our application is receiving a consistent '500 Internal Server Error' from the /v1/invoices endpoint. This started a few minutes ago.","Critical","Technical"
"Cannot reset my password","Multiple users are unable to reset my password when using via Safari on an iPad. The console shows a JavaScript error.","High","Technical"
"Need to cancel subscription","Please cancel our Basic subscription at the end of the current billing cycle. We no longer require the service.","Medium","Billing"
"Requesting a refund","Due to the service outage for all day yesterday, we are requesting a partial credit or refund for this month's service fee.","High","Billing"
"High latency in AP-South-1","We're observing response times of over 1s from the core application in AP-South-1. This is a major degradation.","High","Technical"
"Dashboard not loading","The billing portal is showing a blank white screen. No data is loading. This is impacting all our users since yesterday at 4 PM UTC.","Critical","Technical"
"Add support for XLSX exports","We would like to request the ability to export reports in XLSX format, in addition to the existing options.","Low","Feature Request"
"Question about billing cycle","My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?","Medium","Billing"
"Need to change primary email","I need to update the primary email address on my account, but the interface does not allow me to change it.","Medium","Account"
"Invoice for August 2025 is missing","I cannot find the invoice for August 2025 in my dashboard's billing section. Could you please resend it to our billing contact email?","Low","Billing"
"Feature Idea: audit logs","It would be extremely helpful if you could add a audit logs. This would help us view reports much more efficiently.","Low","Feature Request"
"User permission bug","A user with an 'Admin' role cannot access the billing history page; they are getting a 'permission denied' error.","High","Account"
"Upgrade plan to Growth","We would like to upgrade our account to the Growth tier. Please provide instructions on how to proceed.","Low","Billing"
"Data sync issue for Stellar Solutions","There is a data synchronization delay of over 15 minutes for new records to appear on the settings page. This is affecting our operations.","Medium","Technical"
"Password reset not working","I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.","High","Account"
"Incorrect charge of $29","I was charged $29 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.","High","Billing"
"Request to delete account","Please proceed with the permanent deletion of our account (NextGen Systems) and all associated data as per our company policy.","Medium","Account"
"Cannot add a user","Multiple users are unable to add a user when using from our mobile app (iOS). The console shows a JavaScript error.","High","Technical"
"API returning Timeout Error","Our application is receiving a consistent 'Timeout Error' from the /v1/auth/token endpoint. This started a few minutes ago.","Critical","Technical"
"Help with SSO configuration","We are trying to set up SSO with Google Workspace and are running into an 'invalid configuration' error. Can you provide assistance or documentation?","Medium","Account"
"UI bug on settings page","When we try to save changes on the settings page, the dashboard behaves unexpectedly. It should do X but it does Y instead.","Medium","Technical"
"Webhook delivery failing","We stopped receiving 'subscription.updated' webhooks. The last successful delivery was on 2025-08-27. We have checked our endpoint and it is healthy.","High","Technical"
"Account access issue","My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.","Critical","Account"
"Service is down","Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.","Critical","Technical"
"High latency in SA-East-1","We're observing response times of over 2.5s from the API gateway in SA-East-1. This is a major degradation.","High","Technical"
"Request for better documentation","The documentation for the core application is a bit sparse. It would be great to have more code examples.","Low","Feature Request"
"Export to JSON is broken","The data export feature for JSON is generating an empty or corrupted file. We have tried multiple times.","High","Technical"
"Authentication failure for v2/reports","Our application is receiving a consistent '401 Unauthorized' from the /v2/reports endpoint. This started a few minutes ago.","High","Technical"
"Suggestion for API endpoint /v1/auth/token","Could you enhance the /v1/auth/token endpoint to include sorting by metadata? This would save us from making multiple API calls.","Low","Feature Request"
"Dashboard not loading","The login service is showing a blank white screen. No data is loading. This is impacting all our users since this morning.","Critical","Technical"
"Add team member to DataCorp","How do I invite a new developer to a team? I can't find the option in the account settings.","Low","Account"
"Integration with QuickBooks","We rely heavily on QuickBooks and would love to see a native integration to sync data between your platform and theirs.","Low","Feature Request"
"UI/UX Improvement Suggestion","The current workflow for update payment info requires too many clicks. It could be streamlined by changing the UI on the user profile.","Low","Feature Request"
